LAST SEEN   TYPE      REASON                  OBJECT                                                            MESSAGE
16m         Normal    Killing                 pod/dx-deployment-ring-api-69d69497d5-sp28m                       Stopping container ring-api
16m         Normal    Killing                 pod/dx-deployment-runtime-controller-7b474b9bbf-glgrc             Stopping container runtime-controller
16m         Normal    Killing                 pod/dx-deployment-persistence-node-0                              Stopping container persistence-metrics-exporter
16m         Normal    Killing                 pod/dx-deployment-persistence-node-0                              Stopping container prereqs-checker
16m         Normal    Killing                 pod/dx-deployment-persistence-node-0                              Stopping container persistence-node
16m         Normal    Killing                 pod/dx-deployment-persistence-node-0                              Stopping container persistence-repmgr-log
16m         Normal    Killing                 pod/dx-deployment-web-engine-0                                    Stopping container system-out-log
16m         Normal    Killing                 pod/dx-deployment-content-composer-79d7fd546f-k9hss               Stopping container content-composer
16m         Normal    Killing                 pod/dx-deployment-image-processor-747c9457fc-slxkr                Stopping container image-processor
16m         Normal    Killing                 pod/dx-deployment-digital-asset-management-0                      Stopping container digital-asset-management
16m         Normal    Killing                 pod/dx-deployment-persistence-connection-pool-7c47cc988f-s2szz    Stopping container persistence-connection-pool
16m         Normal    Killing                 pod/dx-deployment-haproxy-8cc95c9c9-mz4wg                         Stopping container haproxy
16m         Normal    Killing                 pod/dx-deployment-digital-asset-management-0                      Stopping container prereqs-checker
16m         Normal    Killing                 pod/dx-deployment-web-engine-0                                    Stopping container trace-log
16m         Normal    Killing                 pod/dx-deployment-web-engine-0                                    Stopping container web-engine
16m         Warning   Unhealthy               pod/dx-deployment-web-engine-0                                    Readiness probe errored and resulted in unknown state: rpc error: code = Unknown desc = command error: cannot register an exec PID: container is stopping, stdout: , stderr: , exit code -1
16m         Warning   Unhealthy               pod/dx-deployment-content-composer-79d7fd546f-k9hss               Readiness probe failed: HTTP probe failed with statuscode: 500
16m         Warning   Unhealthy               pod/dx-deployment-persistence-connection-pool-7c47cc988f-s2szz    Readiness probe errored and resulted in unknown state: rpc error: code = Unknown desc = command error: cannot register an exec PID: container is stopping, stdout: , stderr: , exit code -1
16m         Warning   Unhealthy               pod/dx-deployment-digital-asset-management-0                      Readiness probe failed: HTTP probe failed with statuscode: 503
15m         Warning   Unhealthy               pod/dx-deployment-ring-api-69d69497d5-sp28m                       Readiness probe failed: HTTP probe failed with statuscode: 500
15m         Normal    ExternalProvisioning    persistentvolumeclaim/dx-deployment-digital-asset-management      Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
15m         Normal    Provisioning            persistentvolumeclaim/dx-deployment-digital-asset-management      External provisioner is provisioning volume for claim "digital-experience/dx-deployment-digital-asset-management"
15m         Normal    ProvisioningSucceeded   persistentvolumeclaim/dx-deployment-digital-asset-management      Successfully provisioned volume pvc-2534bd3e-53e5-412f-801f-1be65e6838c1
15m         Normal    SuccessfulCreate        replicaset/dx-deployment-haproxy-8cc95c9c9                        Created pod: dx-deployment-haproxy-8cc95c9c9-v8hl5
15m         Normal    ScalingReplicaSet       deployment/dx-deployment-haproxy                                  Scaled up replica set dx-deployment-haproxy-8cc95c9c9 from 0 to 1
15m         Normal    ScalingReplicaSet       deployment/dx-deployment-runtime-controller                       Scaled up replica set dx-deployment-runtime-controller-7b474b9bbf from 0 to 1
15m         Normal    SuccessfulCreate        replicaset/dx-deployment-runtime-controller-7b474b9bbf            Created pod: dx-deployment-runtime-controller-7b474b9bbf-8vxkk
15m         Normal    Scheduled               pod/dx-deployment-web-engine-0                                    Successfully assigned digital-experience/dx-deployment-web-engine-0 to worker-1
15m         Normal    SuccessfulCreate        statefulset/dx-deployment-web-engine                              create Claim log-dx-deployment-web-engine-0 Pod dx-deployment-web-engine-0 in StatefulSet dx-deployment-web-engine success
15m         Normal    ScalingReplicaSet       deployment/dx-deployment-content-composer                         Scaled up replica set dx-deployment-content-composer-79d7fd546f from 0 to 1
15m         Normal    Scheduled               pod/dx-deployment-digital-asset-management-0                      Successfully assigned digital-experience/dx-deployment-digital-asset-management-0 to worker-0
15m         Normal    SuccessfulCreate        statefulset/dx-deployment-digital-asset-management                create Pod dx-deployment-digital-asset-management-0 in StatefulSet dx-deployment-digital-asset-management successful
15m         Normal    SuccessfulCreate        statefulset/dx-deployment-web-engine                              create Claim customization-dx-deployment-web-engine-0 Pod dx-deployment-web-engine-0 in StatefulSet dx-deployment-web-engine success
15m         Normal    Provisioning            persistentvolumeclaim/log-dx-deployment-web-engine-0              External provisioner is provisioning volume for claim "digital-experience/log-dx-deployment-web-engine-0"
15m         Normal    Scheduled               pod/dx-deployment-runtime-controller-7b474b9bbf-8vxkk             Successfully assigned digital-experience/dx-deployment-runtime-controller-7b474b9bbf-8vxkk to worker-0
15m         Normal    ScalingReplicaSet       deployment/dx-deployment-ring-api                                 Scaled up replica set dx-deployment-ring-api-69d69497d5 from 0 to 1
15m         Normal    SuccessfulCreate        replicaset/dx-deployment-ring-api-69d69497d5                      Created pod: dx-deployment-ring-api-69d69497d5-pdcvj
15m         Normal    ExternalProvisioning    persistentvolumeclaim/customization-dx-deployment-web-engine-0    Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
15m         Normal    ExternalProvisioning    persistentvolumeclaim/log-dx-deployment-web-engine-0              Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
15m         Normal    SuccessfulCreate        replicaset/dx-deployment-content-composer-79d7fd546f              Created pod: dx-deployment-content-composer-79d7fd546f-sdgbd
15m         Warning   FailedScheduling        pod/dx-deployment-web-engine-0                                    0/6 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.
15m         Normal    Scheduled               pod/dx-deployment-haproxy-8cc95c9c9-v8hl5                         Successfully assigned digital-experience/dx-deployment-haproxy-8cc95c9c9-v8hl5 to worker-1
15m         Normal    Scheduled               pod/dx-deployment-image-processor-747c9457fc-vtt5b                Successfully assigned digital-experience/dx-deployment-image-processor-747c9457fc-vtt5b to worker-1
15m         Normal    Scheduled               pod/dx-deployment-content-composer-79d7fd546f-sdgbd               Successfully assigned digital-experience/dx-deployment-content-composer-79d7fd546f-sdgbd to worker-0
15m         Normal    Scheduled               pod/dx-deployment-ring-api-69d69497d5-pdcvj                       Successfully assigned digital-experience/dx-deployment-ring-api-69d69497d5-pdcvj to worker-0
15m         Normal    SuccessfulCreate        statefulset/dx-deployment-persistence-node                        create Pod dx-deployment-persistence-node-0 in StatefulSet dx-deployment-persistence-node successful
15m         Normal    SuccessfulCreate        statefulset/dx-deployment-persistence-node                        create Claim database-dx-deployment-persistence-node-0 Pod dx-deployment-persistence-node-0 in StatefulSet dx-deployment-persistence-node success
15m         Normal    SuccessfulCreate        replicaset/dx-deployment-image-processor-747c9457fc               Created pod: dx-deployment-image-processor-747c9457fc-vtt5b
15m         Normal    ScalingReplicaSet       deployment/dx-deployment-image-processor                          Scaled up replica set dx-deployment-image-processor-747c9457fc from 0 to 1
15m         Normal    Scheduled               pod/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c    Successfully assigned digital-experience/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c to worker-1
15m         Normal    ProvisioningSucceeded   persistentvolumeclaim/log-dx-deployment-web-engine-0              Successfully provisioned volume pvc-66aff724-e675-4ae7-b7fc-635a9d651f37
15m         Normal    Provisioning            persistentvolumeclaim/database-dx-deployment-persistence-node-0   External provisioner is provisioning volume for claim "digital-experience/database-dx-deployment-persistence-node-0"
15m         Normal    ExternalProvisioning    persistentvolumeclaim/database-dx-deployment-persistence-node-0   Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
15m         Normal    ProvisioningSucceeded   persistentvolumeclaim/customization-dx-deployment-web-engine-0    Successfully provisioned volume pvc-3c185db5-d872-43ef-91d8-ae263ffcfadc
15m         Normal    ScalingReplicaSet       deployment/dx-deployment-persistence-connection-pool              Scaled up replica set dx-deployment-persistence-connection-pool-7c47cc988f from 0 to 1
