LAST SEEN   TYPE      REASON                  OBJECT                                                              MESSAGE
61m         Normal    Killing                 pod/dx-deployment-persistence-connection-pool-7c47cc988f-98jn4      Stopping container persistence-connection-pool
61m         Normal    Killing                 pod/dx-deployment-image-processor-747c9457fc-kzqrz                  Stopping container image-processor
61m         Normal    Killing                 pod/dx-deployment-digital-asset-management-0                        Stopping container digital-asset-management
61m         Normal    Killing                 pod/dx-deployment-web-engine-0                                      Stopping container web-engine
61m         Normal    Killing                 pod/dx-deployment-web-engine-0                                      Stopping container system-out-log
61m         Normal    Killing                 pod/dx-deployment-persistence-node-0                                Stopping container persistence-metrics-exporter
61m         Normal    Killing                 pod/dx-deployment-ring-api-69d69497d5-l84nw                         Stopping container ring-api
61m         Normal    Killing                 pod/dx-deployment-content-composer-79d7fd546f-fqhfb                 Stopping container content-composer
61m         Normal    Killing                 pod/dx-deployment-haproxy-6f7bb7cbd5-vr8px                          Stopping container haproxy
61m         Normal    Killing                 pod/dx-deployment-digital-asset-management-0                        Stopping container prereqs-checker
61m         Normal    Killing                 pod/dx-deployment-web-engine-0                                      Stopping container trace-log
61m         Normal    Killing                 pod/dx-deployment-persistence-node-0                                Stopping container prereqs-checker
61m         Normal    Killing                 pod/dx-deployment-persistence-node-0                                Stopping container persistence-repmgr-log
61m         Normal    Killing                 pod/dx-deployment-runtime-controller-7b474b9bbf-jqv8q               Stopping container runtime-controller
61m         Normal    Killing                 pod/dx-deployment-persistence-node-0                                Stopping container persistence-node
61m         Warning   Unhealthy               pod/dx-deployment-web-engine-0                                      Readiness probe errored and resulted in unknown state: rpc error: code = Unknown desc = command error: cannot register an exec PID: container is stopping, stdout: , stderr: , exit code -1
61m         Warning   Unhealthy               pod/dx-deployment-persistence-node-0                                Readiness probe errored and resulted in unknown state: rpc error: code = Unknown desc = command error: cannot register an exec PID: container is stopping, stdout: , stderr: , exit code -1
61m         Warning   Unhealthy               pod/dx-deployment-ring-api-69d69497d5-l84nw                         Readiness probe failed: HTTP probe failed with statuscode: 500
61m         Warning   Unhealthy               pod/dx-deployment-content-composer-79d7fd546f-fqhfb                 Readiness probe failed: HTTP probe failed with statuscode: 500
61m         Warning   Unhealthy               pod/dx-deployment-digital-asset-management-0                        Readiness probe failed: HTTP probe failed with statuscode: 503
60m         Normal    Killing                 pod/dx-search-deployment-open-search-manager-0                      Stopping container open-search
60m         Normal    Killing                 pod/dx-search-deployment-search-middleware-query-75459cc859-qzlm6   Stopping container search-middleware
60m         Normal    Killing                 pod/dx-search-deployment-file-processor-584f64848b-mc4fk            Stopping container file-processor
60m         Warning   Unhealthy               pod/dx-search-deployment-search-middleware-query-75459cc859-qzlm6   Readiness probe failed: Get "http://10.128.3.193:3000/probe/ready": EOF
60m         Normal    ScalingReplicaSet       deployment/dx-deployment-haproxy                                    Scaled up replica set dx-deployment-haproxy-8cc95c9c9 from 0 to 1
60m         Normal    ScalingReplicaSet       deployment/dx-deployment-persistence-connection-pool                Scaled up replica set dx-deployment-persistence-connection-pool-7c47cc988f from 0 to 1
60m         Normal    SuccessfulCreate        replicaset/dx-deployment-persistence-connection-pool-7c47cc988f     Created pod: dx-deployment-persistence-connection-pool-7c47cc988f-swklz
60m         Normal    SuccessfulCreate        replicaset/dx-deployment-ring-api-69d69497d5                        Created pod: dx-deployment-ring-api-69d69497d5-74j5k
60m         Normal    ScalingReplicaSet       deployment/dx-deployment-ring-api                                   Scaled up replica set dx-deployment-ring-api-69d69497d5 from 0 to 1
60m         Normal    Scheduled               pod/dx-deployment-runtime-controller-7b474b9bbf-j4npp               Successfully assigned digital-experience/dx-deployment-runtime-controller-7b474b9bbf-j4npp to worker-1
60m         Normal    ProvisioningSucceeded   persistentvolumeclaim/dx-deployment-digital-asset-management        Successfully provisioned volume pvc-74451a17-3960-4aaa-9c28-fcd8a0141830
60m         Normal    Scheduled               pod/dx-deployment-ring-api-69d69497d5-74j5k                         Successfully assigned digital-experience/dx-deployment-ring-api-69d69497d5-74j5k to worker-1
60m         Normal    ScalingReplicaSet       deployment/dx-deployment-image-processor                            Scaled up replica set dx-deployment-image-processor-747c9457fc from 0 to 1
60m         Normal    Scheduled               pod/dx-deployment-content-composer-79d7fd546f-zd78t                 Successfully assigned digital-experience/dx-deployment-content-composer-79d7fd546f-zd78t to worker-0
60m         Normal    Scheduled               pod/dx-deployment-haproxy-8cc95c9c9-x6jsd                           Successfully assigned digital-experience/dx-deployment-haproxy-8cc95c9c9-x6jsd to worker-1
60m         Normal    ExternalProvisioning    persistentvolumeclaim/dx-deployment-digital-asset-management        Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
