LAST SEEN   TYPE      REASON                          OBJECT                                                   MESSAGE
28m         Normal    IncompleteIngressToRouteRules   ingress/dx-deployment-peopleservice                      Incomplete ingress to route rules detected: Backend service "dx-deployment-peopleservice" not found at index 0, path index 0; Backend service "dx-deployment-peopleservice" not found at index 0, path index 1
28m         Normal    ProvisioningSucceeded           persistentvolumeclaim/dx-deployment-peopleservice-data   Successfully provisioned volume pvc-a01ba435-f31b-49bd-98a2-5efedec83cbb
28m         Normal    Provisioning                    persistentvolumeclaim/dx-deployment-peopleservice-data   External provisioner is provisioning volume for claim "digital-experience/dx-deployment-peopleservice-data"
28m         Normal    ExternalProvisioning            persistentvolumeclaim/dx-deployment-peopleservice-data   Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
28m         Normal    ScalingReplicaSet               deployment/dx-deployment-peopleservice                   Scaled up replica set dx-deployment-peopleservice-6b76659cc9 from 0 to 1
28m         Normal    Scheduled                       pod/dx-deployment-haproxy-76594d558b-b4xf4               Successfully assigned digital-experience/dx-deployment-haproxy-76594d558b-b4xf4 to worker-1
28m         Normal    AddedInterface                  pod/dx-deployment-peopleservice-6b76659cc9-wlrdz         Add eth0 [10.129.3.62/23] from ovn-kubernetes
28m         Normal    Pulling                         pod/dx-deployment-peopleservice-6b76659cc9-wlrdz         Pulling image "image-registry.openshift-image-registry.svc:5000/openshift/dx-people-service:v1.0.0_20251024-1349"
28m         Normal    SuccessfulCreate                replicaset/dx-deployment-haproxy-76594d558b              Created pod: dx-deployment-haproxy-76594d558b-b4xf4
28m         Normal    ScalingReplicaSet               deployment/dx-deployment-haproxy                         Scaled up replica set dx-deployment-haproxy-76594d558b from 0 to 1
28m         Normal    Scheduled                       pod/dx-deployment-peopleservice-6b76659cc9-wlrdz         Successfully assigned digital-experience/dx-deployment-peopleservice-6b76659cc9-wlrdz to worker-1
28m         Normal    SuccessfulCreate                replicaset/dx-deployment-peopleservice-6b76659cc9        Created pod: dx-deployment-peopleservice-6b76659cc9-wlrdz
28m         Normal    SuccessfulDelete                statefulset/dx-deployment-web-engine                     delete Pod dx-deployment-web-engine-0 in StatefulSet dx-deployment-web-engine successful
28m         Normal    Killing                         pod/dx-deployment-web-engine-0                           Stopping container web-engine
28m         Normal    Killing                         pod/dx-deployment-web-engine-0                           Stopping container system-out-log
28m         Normal    Killing                         pod/dx-deployment-web-engine-0                           Stopping container trace-log
28m         Normal    AddedInterface                  pod/dx-deployment-haproxy-76594d558b-b4xf4               Add eth0 [10.129.3.63/23] from ovn-kubernetes
28m         Normal    Pulled                          pod/dx-deployment-peopleservice-6b76659cc9-wlrdz         Successfully pulled image "image-registry.openshift-image-registry.svc:5000/openshift/dx-people-service:v1.0.0_20251024-1349" in 3.243s (3.243s including waiting). Image size: 831561061 bytes.
