LAST SEEN   TYPE      REASON                          OBJECT                                                            MESSAGE
52m         Normal    ProvisioningSucceeded           persistentvolumeclaim/dx-deployment-peopleservice-data            Successfully provisioned volume pvc-a01ba435-f31b-49bd-98a2-5efedec83cbb
52m         Normal    ExternalProvisioning            persistentvolumeclaim/dx-deployment-peopleservice-data            Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
52m         Normal    Provisioning                    persistentvolumeclaim/dx-deployment-peopleservice-data            External provisioner is provisioning volume for claim "digital-experience/dx-deployment-peopleservice-data"
52m         Normal    Scheduled                       pod/dx-deployment-haproxy-76594d558b-b4xf4                        Successfully assigned digital-experience/dx-deployment-haproxy-76594d558b-b4xf4 to worker-1
52m         Normal    SuccessfulCreate                replicaset/dx-deployment-haproxy-76594d558b                       Created pod: dx-deployment-haproxy-76594d558b-b4xf4
52m         Normal    Scheduled                       pod/dx-deployment-peopleservice-6b76659cc9-wlrdz                  Successfully assigned digital-experience/dx-deployment-peopleservice-6b76659cc9-wlrdz to worker-1
52m         Normal    ScalingReplicaSet               deployment/dx-deployment-peopleservice                            Scaled up replica set dx-deployment-peopleservice-6b76659cc9 from 0 to 1
52m         Normal    ScalingReplicaSet               deployment/dx-deployment-haproxy                                  Scaled up replica set dx-deployment-haproxy-76594d558b from 0 to 1
52m         Normal    AddedInterface                  pod/dx-deployment-peopleservice-6b76659cc9-wlrdz                  Add eth0 [10.129.3.62/23] from ovn-kubernetes
52m         Normal    SuccessfulCreate                replicaset/dx-deployment-peopleservice-6b76659cc9                 Created pod: dx-deployment-peopleservice-6b76659cc9-wlrdz
52m         Normal    Pulling                         pod/dx-deployment-peopleservice-6b76659cc9-wlrdz                  Pulling image "image-registry.openshift-image-registry.svc:5000/openshift/dx-people-service:v1.0.0_20251024-1349"
52m         Normal    Killing                         pod/dx-deployment-web-engine-0                                    Stopping container system-out-log
52m         Normal    Killing                         pod/dx-deployment-web-engine-0                                    Stopping container trace-log
52m         Normal    Killing                         pod/dx-deployment-web-engine-0                                    Stopping container web-engine
52m         Normal    SuccessfulDelete                statefulset/dx-deployment-web-engine                              delete Pod dx-deployment-web-engine-0 in StatefulSet dx-deployment-web-engine successful
52m         Normal    AddedInterface                  pod/dx-deployment-haproxy-76594d558b-b4xf4                        Add eth0 [10.129.3.63/23] from ovn-kubernetes
52m         Normal    Pulled                          pod/dx-deployment-peopleservice-6b76659cc9-wlrdz                  Successfully pulled image "image-registry.openshift-image-registry.svc:5000/openshift/dx-people-service:v1.0.0_20251024-1349" in 3.243s (3.243s including waiting). Image size: 831561061 bytes.
51m         Normal    Scheduled                       pod/dx-deployment-web-engine-0                                    Successfully assigned digital-experience/dx-deployment-web-engine-0 to worker-0
51m         Normal    SuccessfulCreate                statefulset/dx-deployment-web-engine                              create Pod dx-deployment-web-engine-0 in StatefulSet dx-deployment-web-engine successful
51m         Normal    Started                         pod/dx-deployment-web-engine-0                                    Started container web-engine
51m         Normal    Created                         pod/dx-deployment-web-engine-0                                    Created container: system-out-log
51m         Normal    AddedInterface                  pod/dx-deployment-web-engine-0                                    Add eth0 [10.128.2.50/23] from ovn-kubernetes
51m         Normal    Started                         pod/dx-deployment-web-engine-0                                    Started container system-out-log
51m         Normal    Pulled                          pod/dx-deployment-web-engine-0                                    Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-logging-sidecar:v1.0.0_20251024-1349" already present on machine
51m         Normal    Created                         pod/dx-deployment-web-engine-0                                    Created container: trace-log
51m         Normal    Started                         pod/dx-deployment-web-engine-0                                    Started container trace-log
51m         Normal    Pulled                          pod/dx-deployment-web-engine-0                                    Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-logging-sidecar:v1.0.0_20251024-1349" already present on machine
51m         Normal    Pulled                          pod/dx-deployment-web-engine-0                                    Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-webengine:CF231_20251025-2351" already present on machine
51m         Normal    Created                         pod/dx-deployment-web-engine-0                                    Created container: web-engine
49m         Warning   Unhealthy                       pod/dx-deployment-web-engine-0                                    Liveness probe failed:
49m         Warning   Unhealthy                       pod/dx-deployment-web-engine-0                                    Readiness probe failed:
47m         Warning   Unhealthy                       pod/dx-deployment-peopleservice-6b76659cc9-wlrdz                  Liveness probe failed: HTTP probe failed with statuscode: 503
35m         Normal    Started                         pod/dx-deployment-haproxy-76594d558b-b4xf4                        Started container haproxy
30m         Normal    Created                         pod/dx-deployment-haproxy-76594d558b-b4xf4                        Created container: haproxy
21m         Warning   BackOff                         pod/dx-deployment-haproxy-76594d558b-b4xf4                        Back-off restarting failed container haproxy in pod dx-deployment-haproxy-76594d558b-b4xf4_digital-experience(9a50b086-fb45-4bf3-abfc-90d54bc1e8b9)
21m         Warning   Unhealthy                       pod/dx-deployment-peopleservice-6b76659cc9-wlrdz                  Readiness probe failed: HTTP probe failed with statuscode: 503
20m         Normal    Pulled                          pod/dx-deployment-haproxy-76594d558b-b4xf4                        Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-haproxy:v1.27.0_20251024-1338" already present on machine
19m         Normal    Killing                         pod/dx-deployment-peopleservice-6b76659cc9-wlrdz                  Container dx-deployment-peopleservice failed liveness probe, will be restarted
18m         Normal    Pulled                          pod/dx-deployment-peopleservice-6b76659cc9-wlrdz                  Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-people-service:v1.0.0_20251024-1349" already present on machine
18m         Normal    Started                         pod/dx-deployment-peopleservice-6b76659cc9-wlrdz                  Started container dx-deployment-peopleservice
18m         Normal    Created                         pod/dx-deployment-peopleservice-6b76659cc9-wlrdz                  Created container: dx-deployment-peopleservice
17m         Normal    Killing                         pod/dx-deployment-digital-asset-management-0                      Stopping container digital-asset-management
17m         Normal    IncompleteIngressToRouteRules   ingress/dx-deployment-peopleservice                               Incomplete ingress to route rules detected: No valid target port for backend service "dx-deployment-peopleservice" at index 0, path index 0; Backend service "dx-deployment-peopleservice" not found at index 0, path index 0; No valid target port for backend service "dx-deployment-peopleservice" at index 0, path index 1; Backend service "dx-deployment-peopleservice" not found at index 0, path index 1
17m         Normal    Killing                         pod/dx-deployment-persistence-node-0                              Stopping container persistence-metrics-exporter
17m         Normal    Killing                         pod/dx-deployment-persistence-node-0                              Stopping container persistence-node
17m         Normal    Killing                         pod/dx-deployment-web-engine-0                                    Stopping container web-engine
17m         Normal    Killing                         pod/dx-deployment-web-engine-0                                    Stopping container system-out-log
17m         Normal    Killing                         pod/dx-deployment-web-engine-0                                    Stopping container trace-log
17m         Normal    Killing                         pod/dx-deployment-digital-asset-management-0                      Stopping container prereqs-checker
17m         Normal    Killing                         pod/dx-deployment-persistence-node-0                              Stopping container persistence-repmgr-log
17m         Normal    Killing                         pod/dx-deployment-persistence-node-0                              Stopping container prereqs-checker
17m         Normal    Killing                         pod/dx-deployment-ring-api-69d69497d5-ws76n                       Stopping container ring-api
17m         Normal    Killing                         pod/dx-deployment-runtime-controller-7b474b9bbf-2z244             Stopping container runtime-controller
17m         Normal    Killing                         pod/dx-deployment-peopleservice-6b76659cc9-wlrdz                  Stopping container dx-deployment-peopleservice
17m         Normal    Killing                         pod/dx-deployment-content-composer-79d7fd546f-gqdpn               Stopping container content-composer
17m         Normal    Killing                         pod/dx-deployment-persistence-connection-pool-7c47cc988f-d49bg    Stopping container persistence-connection-pool
17m         Normal    Killing                         pod/dx-deployment-image-processor-747c9457fc-lsh5d                Stopping container image-processor
17m         Warning   Unhealthy                       pod/dx-deployment-persistence-node-0                              Readiness probe errored and resulted in unknown state: rpc error: code = Unknown desc = command error: cannot register an exec PID: container is stopping, stdout: , stderr: , exit code -1
17m         Normal    Killing                         pod/dx-deployment-haproxy-8cc95c9c9-xdrsr                         Stopping container haproxy
17m         Warning   Unhealthy                       pod/dx-deployment-web-engine-0                                    Readiness probe errored and resulted in unknown state: rpc error: code = Unknown desc = command error: cannot register an exec PID: container is stopping, stdout: , stderr: , exit code -1
17m         Warning   Unhealthy                       pod/dx-deployment-digital-asset-management-0                      Readiness probe failed: HTTP probe failed with statuscode: 503
17m         Warning   Unhealthy                       pod/dx-deployment-ring-api-69d69497d5-ws76n                       Readiness probe failed: HTTP probe failed with statuscode: 500
16m         Warning   Unhealthy                       pod/dx-deployment-content-composer-79d7fd546f-gqdpn               Readiness probe failed: HTTP probe failed with statuscode: 500
16m         Normal    ExternalProvisioning            persistentvolumeclaim/dx-deployment-digital-asset-management      Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
16m         Normal    Provisioning                    persistentvolumeclaim/dx-deployment-digital-asset-management      External provisioner is provisioning volume for claim "digital-experience/dx-deployment-digital-asset-management"
16m         Normal    ProvisioningSucceeded           persistentvolumeclaim/dx-deployment-digital-asset-management      Successfully provisioned volume pvc-9e9eee5a-cfb7-442d-a977-c51c778543e3
16m         Normal    SuccessfulCreate                replicaset/dx-deployment-persistence-connection-pool-7c47cc988f   Created pod: dx-deployment-persistence-connection-pool-7c47cc988f-pfld9
16m         Normal    SuccessfulCreate                replicaset/dx-deployment-runtime-controller-7b474b9bbf            Created pod: dx-deployment-runtime-controller-7b474b9bbf-rxqlh
16m         Normal    Scheduled                       pod/dx-deployment-runtime-controller-7b474b9bbf-rxqlh             Successfully assigned digital-experience/dx-deployment-runtime-controller-7b474b9bbf-rxqlh to worker-1
16m         Normal    ScalingReplicaSet               deployment/dx-deployment-runtime-controller                       Scaled up replica set dx-deployment-runtime-controller-7b474b9bbf from 0 to 1
16m         Normal    ScalingReplicaSet               deployment/dx-deployment-ring-api                                 Scaled up replica set dx-deployment-ring-api-69d69497d5 from 0 to 1
16m         Normal    SuccessfulCreate                replicaset/dx-deployment-ring-api-69d69497d5                      Created pod: dx-deployment-ring-api-69d69497d5-wh42c
16m         Normal    ScalingReplicaSet               deployment/dx-deployment-image-processor                          Scaled up replica set dx-deployment-image-processor-747c9457fc from 0 to 1
16m         Normal    SuccessfulCreate                replicaset/dx-deployment-image-processor-747c9457fc               Created pod: dx-deployment-image-processor-747c9457fc-9wc9v
16m         Normal    AddedInterface                  pod/dx-deployment-ring-api-69d69497d5-wh42c                       Add eth0 [10.129.3.66/23] from ovn-kubernetes
16m         Normal    Scheduled                       pod/dx-deployment-image-processor-747c9457fc-9wc9v                Successfully assigned digital-experience/dx-deployment-image-processor-747c9457fc-9wc9v to worker-1
16m         Normal    ScalingReplicaSet               deployment/dx-deployment-haproxy                                  Scaled up replica set dx-deployment-haproxy-8cc95c9c9 from 0 to 1
16m         Normal    SuccessfulCreate                replicaset/dx-deployment-haproxy-8cc95c9c9                        Created pod: dx-deployment-haproxy-8cc95c9c9-htz5g
16m         Normal    ScalingReplicaSet               deployment/dx-deployment-persistence-connection-pool              Scaled up replica set dx-deployment-persistence-connection-pool-7c47cc988f from 0 to 1
16m         Normal    Pulled                          pod/dx-deployment-haproxy-8cc95c9c9-htz5g                         Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-haproxy:v1.27.0_20251024-1338" already present on machine
16m         Normal    AddedInterface                  pod/dx-deployment-haproxy-8cc95c9c9-htz5g                         Add eth0 [10.128.2.53/23] from ovn-kubernetes
16m         Normal    Scheduled                       pod/dx-deployment-haproxy-8cc95c9c9-htz5g                         Successfully assigned digital-experience/dx-deployment-haproxy-8cc95c9c9-htz5g to worker-0
16m         Normal    SuccessfulCreate                statefulset/dx-deployment-digital-asset-management                create Pod dx-deployment-digital-asset-management-0 in StatefulSet dx-deployment-digital-asset-management successful
16m         Warning   FailedScheduling                pod/dx-deployment-web-engine-0                                    0/6 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.
16m         Normal    Scheduled                       pod/dx-deployment-web-engine-0                                    Successfully assigned digital-experience/dx-deployment-web-engine-0 to worker-1
16m         Normal    Scheduled                       pod/dx-deployment-digital-asset-management-0                      Successfully assigned digital-experience/dx-deployment-digital-asset-management-0 to worker-0
16m         Normal    ScalingReplicaSet               deployment/dx-deployment-content-composer                         Scaled up replica set dx-deployment-content-composer-79d7fd546f from 0 to 1
16m         Normal    SuccessfulCreate                replicaset/dx-deployment-content-composer-79d7fd546f              Created pod: dx-deployment-content-composer-79d7fd546f-9cjbr
16m         Normal    SuccessfulCreate                statefulset/dx-deployment-web-engine                              create Claim customization-dx-deployment-web-engine-0 Pod dx-deployment-web-engine-0 in StatefulSet dx-deployment-web-engine success
